,datetime,source,MW
719,2016-11-05 19:18:21,Both,0.29
720,2016-11-05 19:32:21,Both,0.51
721,2016-11-05 19:33:38,Both,0.33
722,2016-11-05 19:40:34,Both,0.43
723,2016-11-05 19:42:07,Both,0.43
724,2016-11-05 19:44:57,Both,0.22
725,2016-11-05 19:53:57,Both,0.6
726,2016-11-05 20:00:19,Both,0.09
727,2016-11-05 20:02:29,Both,0.22
728,2016-11-05 20:02:39,Both,0.52
729,2016-11-05 20:05:02,Both,0.33
730,2016-11-05 20:05:42,Both,0.37
731,2016-11-05 20:05:59,Both,0.47
732,2016-11-05 20:09:05,Both,0.24
733,2016-11-05 20:11:58,Both,0.27
734,2016-11-05 20:17:58,Both,0.11
735,2016-11-05 20:18:21,Both,-0.04
736,2016-11-05 20:22:43,Both,0.24
737,2016-11-05 20:22:51,Both,0.04
738,2016-11-05 20:28:16,Both,0.45
739,2016-11-05 20:28:50,Both,0.05
740,2016-11-05 20:33:12,Both,0.25
741,2016-11-05 20:35:13,Both,0.45
742,2016-11-05 20:36:52,Both,0.14
743,2016-11-05 20:37:34,Both,0.07
744,2016-11-05 20:41:21,Both,0.25
745,2016-11-05 20:44:14,Both,0.27
746,2016-11-05 20:44:22,Both,0.24
747,2016-11-05 20:48:50,Both,0.3
748,2016-11-05 20:55:05,Both,0.2
749,2016-11-05 20:59:01,Both,0.27
750,2016-11-05 21:00:15,Both,0.56
751,2016-11-05 21:12:54,Both,0.6
752,2016-11-05 21:32:46,Both,0.47
753,2016-11-05 21:36:41,Both,0.69
754,2016-11-05 21:43:30,Both,0.39
755,2016-11-05 21:55:11,Both,0.49
756,2016-11-05 22:01:17,Both,0.51
757,2016-11-05 22:04:17,Both,0.3
758,2016-11-05 22:13:17,Both,0.26
759,2016-11-05 22:15:34,Both,0.5
760,2016-11-05 22:15:49,Both,0.18
761,2016-11-05 22:19:53,Both,0.7
762,2016-11-05 22:25:46,Both,0.35
763,2016-11-05 22:36:54,Both,0.18
764,2016-11-05 22:41:46,Both,0.54
765,2016-11-05 22:51:11,Both,0.48
